boundaries,deadends,cornerenc,class
1,4,0d0a1b0d0c,z
2,0,g,z
2,0,g,z
1,4,0b2a0a0b2a0c,z
1,4,0d2b0a0d2b0c,z
1,3,0d2a1b0d2a0c,z
1,2,0b2a1a0b2a1c,z
2,0,g,z
1,4,0b2a0a2b0a2a0c,Z
1,1,0b2a1a1b1d2a1c,Z
1,2,0d2b1a0d2a1c,Z
1,2,0b2a1a0b2a1c,Z
1,3,0b2a0a0b2a1c,Z
2,3,0a0b0a1c,z
2,0,g,z
1,3,0b0a0b2c,y
1,3,1a0a0b2b0c,y
1,1,2a0b2b1c,y
1,2,1a0a0b2c,y
1,2,1a0a0b2c,Y
1,4,0a2b0b2b0b2b0b2a,x
1,4,0a2b0b2b0b2b0b2a,x
1,3,0b0a0b2c,Y
1,2,1d2a0d2b0d2b2c,Y
1,3,0a2b0b2b0b2b1b1a,x
1,3,1a0a0b2b0c,Y
1,3,1b0a0d0c,Y
1,4,0a2b0b2b0b2b0c2a,X
1,4,0a2a0d1d2b1b0a2b0d1d2c,X
1,4,0a2b0a2d0a2b0a2c,X
1,4,0a0d2b0b2d0d1c,X
1,3,1b2a0b2b0a2b0d2c,x
1,2,2a0b2b0b2b1b1b1c,x
1,2,1a0a2a1a1b1a2b2d0a2a1c,w
1,5,0a2b0a0b1b0b2b0c,w
1,5,0d0b2b0a0b2b0b2c,w
1,3,2a0a2a0a2b0a2c,X
1,4,1a0b2b0a0a2b0b2b1c,W
2,5,0d0b1b0a0a2b0b2c,W
1,5,1a0b2b0a0b2b0b2b0c,w
1,3,1a0b2a1a0d2b0b2c,w
1,3,0b0a0b2a,v
1,3,1a0b2b0a1b1a2a0a2b2c,W
1,2,1a1b2b0a0d2b2b2d1b2b2b2c,W
1,5,0d0b2b0a0a2b0b2c,W
1,2,1a2d0a0a2b2c,V
1,4,0a0a0b0b2b2c,V
1,1,1a1a1b1b2b0c,v
1,3,0a0d0d2b2a1c,v
1,2,0a0b2b1c,v
1,2,0d0a2b1c,v
1,2,1d2a0d0c,u
1,2,0b0a2c,u
1,2,0b0a2c,u
1,5,0a0a0b0b2b0c,V
1,3,0b0a0b2a,V
1,3,0a0a2b0c,V
1,1,1d0a2d1c,U
1,3,0a0b1b0a2a,U
1,0,1d2d2c,U
1,2,0d0a2c,U
1,2,1a1b1a0a2d0c,u
1,5,0a1b2d0a0b0d2a0c,u
1,4,0d0a0d0c,U
1,3,0b0a0a2d2c,t
1,3,1d0b2b2a1b0b2a0c,t
1,5,0d0d2d0b0b2a0c,t
1,3,0d0a0d2c,t
1,2,0d1a0a2c,t
1,2,0d1a0d2c,t
1,3,0d2a0b2d2d0d2c,t
1,2,0d1d0d1c,t
1,2,0a2b1d0d2c,t
1,3,0b0a0a2d2c,t
1,3,0c0d2d0a2b1c,t
1,1,2a0d2b2d2c,t
1,1,2a0b2d2c,t
1,2,0b2a1b0a2d1b1c,T
1,2,1a0b2a0a2c,T
1,2,0a0a2d1c,T
1,3,0d0d0d2c,t
1,3,0d2a0d2d0d2c,t
1,1,2d0c1d1c,s
1,2,2d0c2d0c,s
1,2,1d0c2d0c,s
1,2,2a0d1b2a0c,s
1,2,0b2a0a2b2d2c,T
1,2,0a0d2d1c,T
2,1,2c0c,s
2,1,1d2a0c,s
2,1,2c0c,s
2,1,2c0c,s
2,1,2a2b0c,s
1,4,1a2d0d0c2d0d0c,s
1,2,2d0c0c,S
1,2,0c0c,S
1,2,1d2d0a0c,s
1,2,1b0d2a0a1c,s
1,3,0b2d0a0c,s
1,3,0d2b0a0c,s
1,2,0b2b0b1a1c,s
1,3,1b0d1a0d0c,r
1,2,2d0a0c,r
1,3,0a0c0d1c,S
1,2,0d1c2d2a0d1c,S
1,3,1a2d0a1d2d0b0c,S
2,1,1a0d2a1b2c,R
2,2,1a0b0d2c,R
2,2,1a0d2d1a0c,R
1,2,2d1b0a0c,r
1,2,2d1b0a0c,r
1,3,0a2d2d0b2b0c,R
1,2,2a0b0c,r
1,2,2d0a0c,r
1,3,2d0b0a0c,r
2,1,0c,Q
2,0,1c,Q
2,2,2b0a0c,q
2,2,0a0c,q
2,2,2b0a0c,q
2,2,1d0c0c,q
2,2,1d0d0c,q
1,4,0d0d1a0d2d0c,r
2,2,1a0d2b0b2c,R
2,1,1a0b2c,P
2,1,1a0b1c,P
2,2,1a0d2d0c,p
2,3,1a0b0b0c,p
2,1,2a0d1c,p
2,1,2a0d2c,p
2,1,2d0a2c,p
2,1,0a2a,Q
2,3,0a0b0a1c,Q
2,0,2c2a,Q
1,2,0d2b0a1c,o
1,2,0b2a2d1a0b2a1c,o
2,0,1a1b1a1c,o
2,0,g,o
2,0,g,o
2,0,g,o
2,0,g,o
2,2,0b0a2d1c,P
2,1,0d2c1c,P
2,0,1d1b1a2c,P
1,2,2d0a2b0c,n
1,2,2d1a0a2b0c,n
2,0,g,O
2,3,0a0b1a0c,O
2,0,g,O
2,0,g,O
2,0,g,O
1,3,0c0b2a0d,o
1,3,0d2b0a0c,o
1,3,0d2b0a0c,o
2,1,2a0c,n
2,1,2a0a,n
2,4,1b0b2d2b0d0a0c,n
2,0,2d2a1c,n
2,0,2c1a,n
1,3,0b0b2d0a1c,n
1,3,1a0b2a0b0c,n
1,2,2a0a2b0c,n
1,4,1b0a0a2b2d0a2b2d0d2c,m
1,3,0a0d1a2d0b2b1c,N
1,3,1a0b2b0a0b2c,N
1,3,0c0d2b1a0d2c,N
1,3,0a0b2b1a0b2c,N
1,2,1a0b2b1a0b2b1c,N
1,5,0c0a2b0a2b0d0b2c,M
1,4,0d0b2b0b2b0a1b2c,M
1,3,1a0b2a0b2a0a1b1c,m
1,2,2d0a1b0a2d2d1a2d2d1d2c,m
1,3,2d0d2b0a2b0d2c,m
1,3,2b2d0a2b0a2a0d1c,m
1,2,1a0a0c,l
1,2,0a0a,l
1,2,0c0c,l
1,3,0d1b2b0a0b1b1c,M
3,5,0d0a2b0b2b0a0a2c,M
1,5,0a0d2b0b2b0a0a2b1c,M
1,3,1a0b2b0b2b1b2b0c,k
1,2,0c0a2a1a2d1c,k
1,2,0a2d0b2a1c,L
1,2,0b0c2a,L
1,2,0b0c2a,L
1,2,1b0a0d1c,L
1,2,1a1b0d2b0c,L
1,2,0a0a,l
1,2,0c0c,l
1,3,0a0b2a1b2b0b2c,K
1,4,0d2a0a2b0a2b0c,K
1,4,0a0d2b0b2d0b2c,K
1,3,1a0d2a0a2b0a2b1c,K
1,4,0a0b2b0a2d0b2c,K
1,3,0d0a1d0c,k
1,3,0d0a1d0c,k
1,4,0a0b2b0b2d0c,k
1,3,0a2d2b0a1d2b0c,J
1,2,0c0c,j
1,1,0c2d1c,j
1,2,0c0c,j
1,2,0a2d0d1c,j
1,2,0d0d1c,j
1,2,0a0a,j
1,2,0c0c,j
1,1,2c0b1a,j
1,2,0c0c,j
1,1,0c2d1c,j
1,1,1a0a,i
1,0,1a1a1a1c,i
1,1,1a0a,i
1,1,0c1c,i
1,1,0c,i
1,2,0b1a0c,i
1,1,1a0a,i
1,2,1a2d0d1b1a0c,J
1,1,1a2d0d1c,J
1,2,0d2d0d2c,J
1,2,0c0c,J
1,2,1a0b2b0d2c,h
1,2,1a0b2b0d2c,h
1,1,0c1c,i
1,2,0c0c,i
1,2,0d2a2b1a0d2a2d1c,I
1,2,0a0a,I
1,3,0a0a0c,I
1,2,0a2d0a2c,I
1,2,0a2d1b0d2b2c,I
1,2,0c0c,i
1,1,0c,i
1,2,1a0d1a0c,i
1,3,1a0b2a0d0d2c,H
1,5,0a0d1b2b0a0d1b2b0c,H
1,3,0a0d2b0a2d1b2c,H
1,4,2a0a2b2b0d1a0d1b2b2b0c,H
1,3,0a0d0d2b1c,h
1,4,1a0b2d0b0d0c,h
1,3,0d0b2a0d2c,h
1,3,0a0d0c,G
2,2,2d0c0c,g
2,1,2d1c0c,g
2,2,2a0c0d2c,g
2,2,2a0d0c,g
3,0,2d2d1c1d2c,g
1,4,1a0b2d0a0b2d0c,H
2,2,0d1b2c0a,f
2,4,0b2d0b0a0c,f
1,2,2d1a0b2c0c,G
1,3,1b0b0a2d0c,G
1,3,0a1b1b0d1d2a2b0c,G
1,2,1a1a0d2c0c,G
1,3,1a0d0d2d0c,f
1,3,1a0d0d2a0c,f
1,2,1a1d0d2b2a0c,f
1,4,0c0b2b0b2d2a0a2b2c,f
2,2,1a1b2b0b2d1a0c,f
1,3,1a1b2d0a0d2d0c,f
1,5,0a0b0b2d0d2b0c,F
1,2,1a0b2d2d0c,F
1,2,0a0d2d2b1c,f
1,2,2a1b0b2b2d0c,f
1,1,2d2a2b0a2d2d2c,f
1,1,2a0b2d2b1c,f
1,3,0b0a0a2b2c,f
1,2,1b1d0d1a0c,f
1,5,1a0b2b2d0b0a0a1b2d0c,f
2,1,0d2a1c,e
3,0,1c2c,e
3,0,2c1c,e
3,0,2c2c,e
3,3,0b1a0b0b1a1c,e
3,0,2c2c,e
1,2,1a0d2d2d0c,F
1,3,0a2d1b2b0b2d0c,F
1,3,1a0b1b0b2a0c,F
1,3,1a1a0a2b2b0b2b2b0c,E
1,2,1a0d2d0d2d1c,E
1,2,1a1b0d2d2d0c,E
1,4,1a0b0d2d0d2d0c,E
2,1,0b2a1c,e
2,3,0a1b0d2d2b1b0c,e
2,2,1a1b0d2d2d0c,e
2,1,0b2a1c,e
2,2,0c0c,D
2,2,0c1a0b1b,d
2,0,1a1c,D
2,0,1a1a,D
2,2,0b2d1d2a0c,d
2,2,2d0b0a1c,d
2,1,0d2c2a,d
2,1,1b2d2a0c,d
1,3,0a2a0d2b2b2b0b2d2d1c,E
1,2,0c0c,c
1,2,0c2d0c,c
1,2,0c0c,c
1,2,0c0c,c
1,2,0d1c0c,c
1,2,0a2a0c,c
2,1,0c1c,D
2,1,1a0b1a1c,D
2,1,0d2a1c,b
2,1,1a0d2c,b
2,2,0a0d2b1c,b
2,2,0a0d2b1c,b
2,2,0d0c2c,b
1,2,1a0d0d2d2b2d1c,c
1,2,0d0a1c,c
1,2,1a1d0d2a2d0d1c,C
1,2,0c0c,C
2,1,2c0a,a
3,1,2b1a2a0b1c,a
2,2,0d2d2d0c,a
2,2,0a0c1d,b
3,0,1a1d1c,B
3,1,0a1d2c,B
3,0,1a1d1c,B
3,1,2a1d0c,B
3,0,1a1d2c,B
2,4,0a0b0c2b2d0a,A
2,1,0d2b2d1a1c,A
2,3,1b0d2d0a0c,A
2,3,0a0b1c0a,A
2,2,1a0b2d1a0c,A
2,1,0d2d2a1c,a
2,4,0d0b2d0b1a1a0c,a
2,1,1a0d1a1c,D
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1a0d1a1c,D
1,2,1b0a0c,I
2,1,1a0d1a1c,D
1,2,1b0a0c,I
2,1,1a0d1a1c,D
1,2,1b0a0c,I
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,1,1d0d1c,O
2,2,0a0c,q
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,2,0a0c,P
1,2,0d0d2c,F
1,2,0a2a1d0a2c,S
2,1,1d0d1c,O
2,2,0a0c,P
1,2,0d0d2c,F
1,2,0b0a2c,t
2,1,1d0d2d1c,e
1,2,1d0a0c,z
1,2,0b0a2c,t
2,1,1d0d2d1c,e
1,2,1d0a0c,z
2,2,0a0c,q
1,2,0d0d2c,F
2,1,1d0d2d1c,e
1,2,0d0d2c,F
